0,1,"Romanian: ş = s-cedilla"
0,2,"ă = a-breve"
1,1,"peşteră (f) de abraziune"
2,1,"argilă (f)"
3,1,"puţ (n)"
3,2,"horn (n)"
5,1,"plan (n)"
5,2,"planul peşterii"
6,1,"podea falsă (f)"
7,1,"pseudocarst (m)"
8,1,"stalagmită (f)"
9,1,"alpinist (m)"
10,1,"alpinism (n)"
11,1,"tehnică alpină (f)"
12,1,"aragonit (n)"
13,1,"excavaţie arheologică (f)"
14,1,"mineral (n)"
15,1,"vale (f) seacă"
15,2,"sohodol (n)"
16,1,"peşteră (f) tunel"
18,1,"barit (m)"
19,1,"peşteră (f)"
20,1,"cartare (f) de peşteră"
21,1,"speolog (m)"
22,1,"echipament speologic (m)"
23,1,"speologie (f)"
24,1,"speleoterapie (f)"
25,1,"perlă (f) de cavernă"
26,1,"artă (f) rupestră"
26,2,"artă speleală"
27,1,"trogloxen (m)"
28,1,"troglofil (m)"
29,1,"speleogeneză (f)"
30,1,"speologie (f)"
32,1,"troglodit (m)"
32,2,"locuitor (m) de cavernă"
33,1,"troglobiont (m)"
34,1,"topografie (f) speologică"
35,1,"carta"
35,2,"a ~ (o peşteră)"
36,1,"pictură (f) rupestră"
36,2,"pictură de cavernă"
37,1,"sistem (n) carstic"
37,2,"reţea (f) subterană"
39,1,"hartă (f) de peşteră"
40,1,"tură (f) de peşteră"
40,2,"excursie(f) subterană"
41,1,"protecţia (f) peşterilor"
42,1,"nod (n) bulin"
43,1,"depresiune (f)"
43,2,"prăbuşire (f) (dolină (f)  de prăbuşire)"
44,1,"infiltraţie (f)"
45,1,"centură (f) de şezut"
46,1,"bivuac (n)"
47,1,"asigurare (f)"
48,1,"coardă (f) de asigurare"
49,1,"coralit (n)"
50,1,"brecie (f)"
52,1,"echipament (n) de scufundare"
53,1,"costum (n) de scafandru"
53,2,"neopren"
54,1,"pârâu (n) cu pierderi de apă"
55,1,"direcţie (f)"
56,1,"nod (n) Ronsdorf ?"
57,1,"speleotemă (f)"
57,2,"concreţiune (f)"
58,1,"peşteră (f) concreţionată"
59,1,"scut (f) de calcit"
60,1,"văl (n)"
60,2,"draperie (f)"
63,1,"crustă (f) stalagmitică"
64,1,"bazin (n)"
66,1,"scripete (m)"
67,1,"nod (n)"
68,1,"troliu (n)"
69,1,"liliac (m)"
70,1,"denudare (f)"
71,1,"înclinare (f)"
72,1,"dolină (f)"
73,1,"dolomit (m)"
74,1,"calcar (n) dolomitic"
75,1,"blocator (n) Dressler"
76,1,"scară (f) electron"
77,1,"dülfer (n)"
77,2,"rapel (n)"
78,1,"duză (f)"
78,2,"bec (n) (de acetilenă)"
79,1,"desfundător (n) de bec"
80,1,"travertin (n)"
80,2,"tuf (n) calcaros"
81,1,"tehnică (f) alpină"
82,1,"nod (n) simplu"
83,1,"pană (f)"
84,1,"înfundare (f)"
85,1,"coborâre (f)"
85,2,"rapel (n)"
87,1,"coborâtor (n) în opt"
88,1,"coborâtor (n)"
89,1,"eroziune (f)"
90,1,"nivel (n) de bază (local)"
90,2,"bază (f) de eroziune"
91,1,"marmită (f) de evorziune"
92,1,"odontolite (f)"
93,1,"carst (n) acoperit"
94,1,"lampă (f) frontală"
95,1,"platou (n)"
96,1,"priză (f)"
97,1,"treaptă (f)"
98,1,"subteran (adj)"
99,1,"galerie (f)"
99,2,"pasaj (n)"
100,1,"peşteră (f) izbuc"
100,2,"peşteră (f) de resurgenţă"
101,1,"zonă (f) freatică"
102,1,"stalactită (f)"
103,1,"gips (n)"
104,1,"floare (f) de gips"
105,1,"nişă (f) sferică"
106,1,"cristalictită (f)"
106,2,"helictită (f)"
106,3,"excentrită (f)"
107,1,"zonă (f) vadoasă"
108,1,"guano (m)"
109,1,"scară (f) din coardă"
109,2,"scăriţă (f)"
111,1,"nod (n) pescar"
112,1,"traversare"
113,1,"fisură (f)"
114,1,"peşteră (f) pe diaclază"
115,1,"montmilch (n)"
119,1,"metodă (f) "DED""
120,1,"peşteră (f) hidrotermală"
121,1,"blocator (n) Hiebler"
122,1,"hipotermie (f)"
123,1,"histoplasmoză (f)"
124,1,"secţiune (f) longitudinală"
125,1,"buclă (f)"
126,1,"peşteră (f) turistică"
127,1,"izvor (n) temporar"
127,2,"izbuc (n) cu intermitenţă"
128,1,"direcţie (f)"
130,1,"peşteră (f) cu gheaţă"
130,2,"gheţar (m)"
131,1,"ţurţur (m)"
131,2,"stalactită (f) de gheaţă"
132,1,"carnet (n) de teren"
133,1,"blocator (n) Jumar"
134,1,"calcit (m)"
135,1,"placă (f) de calcit"
136,1,"linguriţă (f)"
136,2,"canelură (f) de eroziune"
137,1,"blocator (n) Gibbs"
138,1,"zonă capilară"
139,1,"carabinieră (f)"
140,1,"carbid (m) (lampă de ~)"
141,1,"lapiez (n)"
142,1,"carst (n)"
143,1,"peşteră (f) carstică"
144,1,"platou (n) carstic"
145,1,"exsurgenţă (f)"
145,2,"izbuc (n)"
145,3,"izvor (n) carstic"
146,1,"fenomen (n) carstic"
147,1,"carstificare (f)"
148,1,"nivel (n) de bază carstică"
150,1,"echipă (grup) de explorare"
151,1,"speleotemă (f)"
152,1,"secţiune (f) transversală"
153,1,"coroziune (f)  de amestec"
154,1,"secţiune (f) longitudinală întinsă"
155,1,"amaraj (n)"
156,1,"umplutură (f)"
157,1,"nişă (f)"
157,2,"abriu (n)"
158,1,"pod (n) natural"
159,1,"busolă (f)"
161,1,"coroziune (f)"
162,1,"coardă (f)"
163,1,"coardă (f)"
165,1,"echipare (f)"
165,2,"plasarea (f) corzilor"
166,1,"cristal (m)"
167,1,"munte (m) conic"
168,1,"carst (n) conic"
170,1,"târâş (n)"
170,2,"laminor (n)"
171,1,"merocarst (n)"
173,1,"peşteră (f) piemontană"
174,1,"labirint (n)"
175,1,"floră (f) de lampă"
176,1,"nod (n) plat"
177,1,"peşteră (f) vulcanică"
177,2,"tub (n) de lavă"
178,1,"descoperire (f) (arheologică)"
179,1,"priză (f) de picior"
181,1,"marnă (f)"
182,1,"marmură (f)"
183,1,"escaladă (f)"
183,2,"căţărare"
184,1,"căţăra"
184,2,"a se ~"
185,1,"blocator (n)"
186,1,"bară (f) de escaladă"
187,1,"meandru (n)"
188,1,"centură (f) de piept"
189,1,"salvare (f) (subterană)"
189,2,"salvaspeo"
190,1,"scufundare (f)"
191,1,"scufunda"
191,2,"a se ~"
192,1,"calcaros (adj)"
193,1,"calcar (n)"
194,1,"platou (n) carstic"
196,1,"gur (n)"
196,2,"baraj (f) de tuf"
199,1,"spit (n)"
200,1,"dizolvare (f)"
201,1,"produs (n) de prăbuşire"
202,1,"prăbuşire (f)"
203,1,"autoasigurare (f)"
204,1,"autosalvare (f)"
206,1,"paleocarst (n)"
207,1,"coloană (f)"
208,1,"salopetă (f)"
208,2,"combinezon (n)"
210,1,"cornişă (f)"
211,1,"peşteră (f) activă"
212,1,"nod (n) în opt"
213,1,"platou marginal (?)"
214,1,"coborâtor (n) Petzl"
216,1,"poligon (n) de cartare"
216,2,"drumuire"
217,1,"polie (f)"
218,1,"nod (n) prusik"
219,1,"urcare (f) cu nod prusik"
221,1,"cordelină(f)"
222,1,"strat (n)"
223,1,"suprafaţă (f)  de stratificaţie"
224,1,"anastomoză (f)"
225,1,"serie (f) stratigrafică"
226,1,"lanternă (f)"
227,1,"noroi (n)"
228,1,"cască (f)"
229,1,"coardă (f)"
230,1,"shunt (n)"
231,1,"prăpastie (f)"
232,1,"dolină (f) de prăbuşire"
233,1,"stilolit (n)"
233,2,"stalactită (f) macaroană"
234,1,"coborâtor (n) cu coarne"
235,1,"piton (f)"
236,1,"bioxid (m) de carbon"
237,1,"acid (m) carbonic"
238,1,"sifon (n)"
239,1,"galerie (f) de ocolire a unui sifon"
241,1,"nivel (n) de eroziune"
242,1,"nivel (n)"
243,1,"nod (n) cabestan"
243,2,"~ Matswurf"
248,1,"canion (n)"
248,2,"cheie (f)"
249,1,"apă (f) subterană"
250,1,"nivel (n) freatic"
251,1,"peşteră (f) de taluz"
252,1,"galerie (f) de mină"
252,2,"tunel artificial"
253,1,"tectonică (f)"
254,1,"amplasament (n) (~ul rocilor)"
255,1,"sală (f) (de peşteră)"
258,1,"con (n) de prăbuşire"
259,1,"turn (n) carstic"
260,1,"carst (n) de turnuri"
261,1,"traversă (f)"
263,1,"sediment (n)"
265,1,"formarea (f) cavernamentului"
266,1,"uvală (f)"
266,2,"groapă (f)"
268,1,"flash (n)"
268,2,"blitz (n)"
269,1,"vale (f) oarbă"
270,1,"prăbuşire (f) terminală"
271,1,"falie (f)"
272,1,"plan de falie"
272,2,"oglindă (f) de fricţiune"
273,1,"coarda (f) principală"
275,1,"blitz (n)"
276,1,"colorare (f)"
276,2,"marcare (a apei)"
277,1,"bazin (n) hidrografic"
278,1,"ponor (n)"
279,1,"peşteră (f) ponor"
280,1,"colorare (f) cu trasori"
281,1,"strat (n) acvifer"
282,1,"galerie (f) activă"
282,2,"conductă (f)"
283,1,"impermeabil (adj)"
284,1,"coborâtor (n) cu bare"
287,1,"speologie (f) verticală (alpină)"
288,1,"puţ (n) domic (specific în Peştera Mamut SUA)"
289,1,"aven (n)"
290,1,"firul (n) lui Ariadne"
291,1,"preaplin (n)"
292,1,"permeabilitate (f)"
293,1,"zonă (f) epifreatică"
294,1,"aven (n)"
295,1,"speo-"
295,2,"speleo-"
296,1,"cavitate (f) (artificială)"
297,1,"biospeologie (f)"
298,1,"bivuac (n)"
299,1,"concreţiune (f)"
299,2,"speleotemă (f)"
300,1,"depresiune (f) carstică"
301,1,"dolomitizare (f)"
302,1,"coborâ"
302,2,"a ~"
303,1,"fluoresceină (f)"
304,1,"carst (n) fluvial"
305,1,"gura (f) izbucului"
306,1,"fosil (adj)"
307,1,"gaură (f) cu vânt"
308,1,"carst (n) suspendat"
309,1,"peşteră (f) glaciară"
309,2,"gheţar (m)"
310,1,"lapiez (n) de fisură"
311,1,"holocarst (n)"
312,1,"filonete (n) de calcit ?"
313,1,"carbonat (m) de calciu"
314,1,"lapiez (n) pe strate orizontale"
315,1,"carstic (adj)"
316,1,"izbuc (n)"
316,2,"resurgenţă (f)"
317,1,"regiune  (f) (zonă (f)) carstică"
318,1,"zonă (f) aerată"
319,1,"nivel (n) de apă carstică"
320,1,"cavitate (f)"
321,1,"dezechipare (f)"
322,1,"concreţiune (f)"
323,1,"rocă (f)"
324,1,"clopot (n) de aer"
325,1,"tavan (n)"
326,1,"lapiez (n) de tavan"
327,1,"travertin (n)"
327,2,"terasă (f) de ~"
329,1,"carst (f) dezvelit"
330,1,"trasor (m)"
331,1,"linguriţă (f) de coroziune"
332,1,"alveolă (f) de coroziune"
333,1,"desen (n) rupestru"
334,1,"speo-"
334,2,"speleo-"
336,1,"strâmtoare (f)"
337,1,"concreţiune (f) de bazin"
338,1,"terra-rossa"
338,2,"argilă (f) roşie"
339,1,"cavitate (f)"
340,1,"cavernos (adj)"
343,1,"peșteri fără tavan"
344,1,"structuri reziduale in polii"
